event_index,elapsed_s,time_ms,event,activity_label
1,1.540000,4980012.000,chew,chewing
2,2.240000,4980712.000,chew,chewing
3,2.900000,4981372.000,chew,chewing
4,3.510000,4981982.000,chew,chewing
5,4.150000,4982622.000,chew,chewing
6,4.840000,4983312.000,chew,chewing
7,5.450000,4983922.000,chew,chewing
8,6.180000,4984652.000,chew,chewing
9,6.800000,4985272.000,chew,chewing
10,7.550000,4986022.000,chew,chewing
11,8.260000,4986732.000,chew,chewing
12,8.920000,4987392.000,chew,chewing
13,9.630000,4988102.000,chew,chewing
14,10.200000,4988672.000,chew,chewing
15,10.840000,4989312.000,chew,chewing
16,11.480000,4989952.000,chew,chewing
17,12.250000,4990722.000,chew,chewing
18,13.020000,4991492.000,chew,chewing
19,13.660000,4992132.000,chew,chewing
20,14.560000,4993032.000,chew,chewing
21,15.070000,4993542.000,chew,chewing
22,15.720000,4994192.000,chew,chewing
23,16.430000,4994902.000,chew,chewing
24,17.140000,4995612.000,chew,chewing
25,17.780000,4996252.000,chew,chewing
26,18.550000,4997022.000,chew,chewing
27,19.130000,4997602.000,chew,chewing
28,19.830000,4998302.000,chew,chewing
29,20.470000,4998942.000,chew,chewing
30,21.180000,4999652.000,chew,chewing
31,21.880000,5000352.000,chew,chewing
32,22.600000,5001072.000,chew,chewing
33,23.180000,5001652.000,chew,chewing
34,23.810000,5002282.000,chew,chewing
35,24.500000,5002972.000,chew,chewing
36,25.200000,5003672.000,chew,chewing
37,25.830000,5004302.000,chew,chewing
38,26.640000,5005112.000,chew,chewing
39,27.440000,5005912.000,chew,chewing
40,28.130000,5006602.000,chew,chewing
41,28.690000,5007162.000,chew,chewing
42,29.450000,5007922.000,chew,chewing
43,30.070000,5008542.000,chew,chewing
44,30.770000,5009242.000,chew,chewing
45,31.450000,5009922.000,chew,chewing
46,32.190000,5010662.000,chew,chewing
47,32.830000,5011302.000,chew,chewing
48,33.530000,5012002.000,chew,chewing
49,34.160000,5012632.000,chew,chewing
50,34.800000,5013272.000,chew,chewing
51,35.450000,5013922.000,chew,chewing
52,36.090000,5014562.000,chew,chewing
53,36.730000,5015202.000,chew,chewing
54,37.440000,5015912.000,chew,chewing
55,38.160000,5016632.000,chew,chewing
56,38.810000,5017282.000,chew,chewing
57,39.520000,5017992.000,chew,chewing
58,40.230000,5018702.000,chew,chewing
59,40.870000,5019342.000,chew,chewing
60,41.450000,5019922.000,chew,chewing
61,42.040000,5020512.000,chew,chewing
62,42.480000,5020952.000,chew,chewing
63,43.060000,5021532.000,chew,chewing
