time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
1556287.0,-1.311035,1.489258,0.452148,-0.037571,0.020251,0.092196,-0.791504,-1.818848,0.294922,-0.035706,-0.18679,-0.043433,warming_up,-,0.000,-,left_chewing
1556297.0,-1.299316,1.495117,0.456543,-0.010392,0.006928,0.082603,-0.808105,-1.824707,0.288574,-0.054891,-0.106851,-0.062352,warming_up,-,0.000,-,left_chewing
1556307.0,-1.306152,1.502441,0.454102,0.007461,0.008527,0.073277,-0.795898,-1.818848,0.303711,-0.049562,-0.072211,-0.075409,warming_up,-,0.000,-,left_chewing
1556317.0,-1.308105,1.48877,0.441406,-0.00453,0.018119,0.0429,-0.78125,-1.810059,0.279785,-0.071412,0.011991,-0.059688,warming_up,-,0.000,-,left_chewing
1556327.0,-1.316406,1.485352,0.459473,-0.009593,0.047697,0.054891,-0.78418,-1.809082,0.287598,-0.086334,0.067681,-0.03464,warming_up,-,0.000,-,left_chewing
1556337.0,-1.311035,1.479492,0.438477,0.012524,0.06475,0.066349,-0.763184,-1.814453,0.291016,-0.054092,0.135896,-0.071945,warming_up,-,0.000,-,left_chewing
1556347.0,-1.3125,1.498047,0.452148,0.047164,0.074609,0.100989,-0.755859,-1.808105,0.283691,-0.046098,0.171069,-0.090331,warming_up,-,0.000,-,left_chewing
1556357.0,-1.30127,1.48291,0.455078,0.102855,0.113513,0.089265,-0.759766,-1.810059,0.28418,-0.023182,0.220631,-0.155614,warming_up,-,0.000,-,left_chewing
1556367.0,-1.307129,1.490234,0.453125,0.153482,0.114579,0.062619,-0.784668,-1.804688,0.257813,-0.128968,0.165207,-0.098858,warming_up,-,0.000,-,left_chewing
1556377.0,-1.307129,1.494141,0.443359,0.236086,0.095127,0.048763,-0.782715,-1.828613,0.256348,-0.201446,0.111381,-0.031975,warming_up,-,0.000,-,left_chewing
1556387.0,-1.307129,1.495117,0.42041,0.314159,0.077008,0.036505,-0.786133,-1.833984,0.25293,-0.234487,0.088466,0.028511,warming_up,-,0.000,-,left_chewing
1556397.0,-1.293457,1.521973,0.427246,0.36985,0.059421,0.025047,-0.779297,-1.822266,0.268555,-0.261666,0.103387,0.008527,warming_up,-,0.000,-,left_chewing
1556407.0,-1.289551,1.523438,0.432129,0.470573,0.079139,0.119642,-0.749023,-1.837891,0.3125,-0.181994,0.224628,-0.087933,warming_up,-,0.000,-,left_chewing
