time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
6038143.0,-1.180176,1.55957,-0.005859,0.09193,0.037038,0.083136,-1.052734,-1.622559,0.583008,-0.039703,-0.052227,-0.025314,warming_up,-,0.000,-,non_chewing
6038153.0,-1.182617,1.550293,-0.010254,0.115112,0.005862,0.054358,-1.038574,-1.627441,0.577148,-0.031443,-0.027979,-0.023182,warming_up,-,0.000,-,non_chewing
6038163.0,-1.188477,1.557617,-0.009766,0.13856,0.002931,0.041568,-1.012207,-1.630371,0.589355,-0.031709,0.010658,-0.010126,warming_up,-,0.000,-,non_chewing
6038173.0,-1.1875,1.554199,-0.016602,0.138294,0.025314,0.04743,-1.014648,-1.635254,0.577148,-0.033841,0.069014,-0.01279,warming_up,-,0.000,-,non_chewing
6038183.0,-1.208496,1.52002,-0.022461,0.13483,0.030643,0.061286,-1.009766,-1.617188,0.57373,-0.032242,0.091663,-0.058355,warming_up,-,0.000,-,non_chewing
6038193.0,-1.20752,1.507324,-0.013184,0.076208,0.03464,0.088998,-1.036621,-1.610352,0.582031,-0.015188,0.087133,-0.059421,warming_up,-,0.000,-,non_chewing
6038203.0,-1.222656,1.494629,-0.015625,0.019985,0.072478,0.086867,-1.057129,-1.597656,0.5625,-0.017587,0.058089,-0.033041,warming_up,-,0.000,-,non_chewing
6038213.0,-1.208496,1.48584,-0.003906,-0.052493,0.083669,0.081538,-1.037109,-1.609863,0.578125,-0.019452,0.023182,-0.000266,warming_up,-,0.000,-,non_chewing
6038223.0,-1.21875,1.496582,-0.003906,-0.069813,0.121773,0.08287,-1.054199,-1.606934,0.571777,-0.024781,-0.019452,0.03544,warming_up,-,0.000,-,non_chewing
6038233.0,-1.210938,1.50293,-0.007324,-0.096726,0.154015,0.075142,-1.057129,-1.602051,0.574707,-0.03464,-0.072478,0.118309,warming_up,-,0.000,-,non_chewing
6038243.0,-1.192383,1.519043,-0.017578,-0.08287,0.16574,0.061819,-1.034668,-1.617188,0.58252,-0.021583,-0.066083,0.116711,warming_up,-,0.000,-,non_chewing
6038253.0,-1.199707,1.532715,-0.017578,-0.08207,0.171602,0.047963,-1.044434,-1.620117,0.58252,-0.014922,-0.018919,0.100456,warming_up,-,0.000,-,non_chewing
6038263.0,-1.207031,1.525879,-0.021484,-0.049029,0.13936,0.041568,-1.052246,-1.637695,0.585937,-0.024248,0.034107,0.062086,warming_up,-,0.000,-,non_chewing
6038273.0,-1.206543,1.541016,-0.004395,0.001865,0.083936,0.027712,-1.064453,-1.638184,0.584961,-0.037838,0.076475,0.026646,warming_up,-,0.000,-,non_chewing
6038283.0,-1.217773,1.542969,-0.018555,0.031176,0.085534,0.034374,-1.085938,-1.632324,0.566895,-0.065017,0.073277,0.085002,warming_up,-,0.000,-,non_chewing
6038293.0,-1.227539,1.538086,-0.01123,0.041302,0.089265,0.026646,-1.066406,-1.638184,0.588379,-0.068214,0.072211,0.097259,warming_up,-,0.000,-,non_chewing
6038303.0,-1.227539,1.532227,-0.009277,0.056757,0.105519,-0.001865,-1.066406,-1.631836,0.58252,-0.074876,0.107651,0.079939,warming_up,-,0.000,-,non_chewing
6038313.0,-1.230957,1.525879,0.00293,0.050361,0.136429,-0.040502,-1.065918,-1.612793,0.566406,-0.084202,0.115911,0.054625,warming_up,-,0.000,-,non_chewing
6038323.0,-1.228027,1.530273,0.000977,0.058355,0.153482,-0.036772,-1.068848,-1.607422,0.560547,-0.092462,0.084469,0.057289,warming_up,-,0.000,-,non_chewing
