time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
1609579.0,-0.521484,1.88916,0.812988,-0.064484,-0.000799,0.03011,0.013672,-2.000977,-0.022949,0.105519,0.224095,0.029844,warming_up,-,0.000,-,right_chewing
1609589.0,-0.546387,1.875488,0.806152,-0.050894,0.003997,0.024515,-0.018066,-1.995605,-0.024414,0.115645,0.244879,0.023449,warming_up,-,0.000,-,right_chewing
1609599.0,-0.560059,1.871582,0.801758,-0.033841,-0.000533,0.004263,0.001953,-1.993164,-0.004883,0.104187,0.200113,0.018652,warming_up,-,0.000,-,right_chewing
1609609.0,-0.550781,1.872559,0.827148,-0.017587,-0.007727,0.005329,0.020508,-2.005859,-0.014648,0.082337,0.25234,-0.058888,warming_up,-,0.000,-,right_chewing
1609619.0,-0.540039,1.865723,0.830078,-0.002931,0.013856,-0.016521,0.003418,-1.990234,-0.016602,0.119908,0.3051,-0.085801,warming_up,-,0.000,-,right_chewing
1609629.0,-0.541504,1.868164,0.813477,0.058089,0.014655,0.001599,0.021484,-2.006836,-0.011719,0.0874,0.210239,-0.034907,warming_up,-,0.000,-,right_chewing
1609639.0,-0.525391,1.866699,0.820801,0.087133,0.0437,-0.00373,0.010742,-1.989258,-0.017578,0.0874,0.176398,0.016254,warming_up,-,0.000,-,right_chewing
1609649.0,-0.520508,1.884277,0.834961,0.110049,0.062885,-0.001599,0.026855,-1.997559,-0.019531,0.061553,0.051427,0.12204,warming_up,-,0.000,-,right_chewing
1609659.0,-0.526367,1.879395,0.834961,0.118842,0.102322,-0.007461,0.026855,-1.989746,-0.030762,0.033574,0.087666,0.138028,warming_up,-,0.000,-,right_chewing
1609669.0,-0.526855,1.88623,0.831055,0.116977,0.07008,-0.033308,0.017578,-1.986816,-0.033203,0.090597,0.208107,0.093262,warming_up,-,0.000,-,right_chewing
1609679.0,-0.541992,1.870605,0.806641,0.148686,0.069547,-0.041835,0.027344,-2.000977,-0.053223,0.10845,0.280851,0.122573,warming_up,-,0.000,-,right_chewing
1609689.0,-0.540527,1.856445,0.823242,0.153216,0.025314,-0.061286,0.019043,-1.999023,-0.032715,0.200646,0.397029,0.140959,warming_up,-,0.000,-,right_chewing
1609699.0,-0.549316,1.850098,0.815918,0.159345,-0.025047,-0.088732,-0.019043,-2.001465,-0.036621,0.197449,0.307498,0.151884,warming_up,-,0.000,-,right_chewing
1609709.0,-0.52832,1.871094,0.824707,0.174266,-0.0437,-0.070879,-0.000977,-2.01416,-0.043457,0.258202,0.247544,0.173734,warming_up,-,0.000,-,right_chewing
1609719.0,-0.518555,1.893066,0.823242,0.173201,-0.020251,-0.054625,0.031738,-1.989746,0.013184,0.411685,0.248609,0.162009,warming_up,-,0.000,-,right_chewing
1609729.0,-0.517578,1.931152,0.791992,0.203577,-0.033308,0.007994,0.069824,-2.02002,0.020996,0.373847,0.241149,0.116444,warming_up,-,0.000,-,right_chewing
1609739.0,-0.535645,1.898438,0.787598,0.272858,-0.102588,-0.005596,0.019043,-1.983887,0.040527,0.378643,0.264064,0.10392,warming_up,-,0.000,-,right_chewing
1609749.0,-0.553223,1.895996,0.776367,0.251274,-0.09566,0.02185,-0.015625,-1.968262,0.041504,0.37438,0.312028,0.217167,warming_up,-,0.000,-,right_chewing
1609759.0,-0.574219,1.864258,0.775391,0.214502,-0.064217,0.03544,0.027832,-2.004395,0.025391,0.310429,0.39623,0.011991,warming_up,-,0.000,-,right_chewing
1609769.0,-0.586914,1.835449,0.786133,0.118842,-0.023449,0.046897,0.037109,-2.017578,0.012695,0.39543,0.476168,-0.034374,warming_up,-,0.000,-,right_chewing
1609779.0,-0.572266,1.839355,0.793457,0.054891,0.029844,0.021317,0.091797,-2.038086,0.008789,0.259534,0.340273,-0.123372,warming_up,-,0.000,-,right_chewing
1609789.0,-0.561523,1.864258,0.788086,-0.018119,0.110315,0.031975,-0.005859,-1.991699,0.026855,0.235553,0.407954,-0.196916,warming_up,-,0.000,-,right_chewing
1609799.0,-0.536621,1.877441,0.79834,-0.059421,0.124438,0.06102,0.005859,-1.98584,0.032227,0.179063,0.306965,-0.180662,warming_up,-,0.000,-,right_chewing
1609809.0,-0.536133,1.890625,0.808105,-0.045832,0.092462,0.053825,-0.010742,-1.974121,0.053223,0.138827,0.281384,-0.168671,warming_up,-,0.000,-,right_chewing
1609819.0,-0.524414,1.899902,0.780762,-0.00373,0.025047,0.05196,-0.020508,-1.98584,0.03125,0.117243,0.241149,-0.158012,warming_up,-,0.000,-,right_chewing
1609829.0,-0.529297,1.884277,0.773926,0.019718,-0.117243,-0.003198,-0.024414,-1.989746,0.023926,0.118576,0.177464,-0.103387,warming_up,-,0.000,-,right_chewing
1609839.0,-0.522461,1.88916,0.782227,0.0429,-0.20944,-0.049296,-0.019531,-1.990723,0.026855,0.124704,0.142557,-0.055158,warming_up,-,0.000,-,right_chewing
1609849.0,-0.536133,1.889648,0.774902,0.083936,-0.247277,-0.075942,0.008789,-1.991699,0.003906,0.232089,0.180662,-0.072744,warming_up,-,0.000,-,right_chewing
1609859.0,-0.535645,1.88623,0.793457,0.130567,-0.261133,-0.085801,0.040039,-2.001465,0.020508,0.288579,0.197715,-0.065283,warming_up,-,0.000,-,right_chewing
1609869.0,-0.544434,1.893555,0.802734,0.200913,-0.25607,-0.078606,0.024414,-1.993652,0.04248,0.27792,0.178263,-0.038371,warming_up,-,0.000,-,right_chewing
1609879.0,-0.563477,1.865723,0.818359,0.349066,-0.23502,-0.091397,0.029785,-1.995605,0.069824,0.266729,0.118043,0.013856,warming_up,-,0.000,-,right_chewing
1609889.0,-0.527344,1.894043,0.847168,0.276055,-0.199047,-0.06102,0.044922,-2.001465,0.077148,0.247277,0.122306,-0.053559,warming_up,-,0.000,-,right_chewing
1609899.0,-0.533203,1.893066,0.833008,0.196116,-0.10019,-0.017853,0.040039,-1.994629,0.092285,0.163608,0.086334,-0.014123,warming_up,-,0.000,-,right_chewing
1609909.0,-0.553223,1.86084,0.806152,0.066616,-0.006928,0.034374,0.00293,-1.99707,0.062988,0.085268,0.075942,-0.025047,warming_up,-,0.000,-,right_chewing
1609919.0,-0.546387,1.862793,0.807617,0.014389,0.036239,0.066083,-0.002441,-2.0,0.063965,0.032242,0.054092,0.015455,warming_up,-,0.000,-,right_chewing
1609929.0,-0.541992,1.870117,0.807129,-0.018119,0.040769,0.072744,0.018555,-2.0,0.057617,0.003198,0.03091,-0.001332,warming_up,-,0.000,-,right_chewing
1609939.0,-0.544922,1.862305,0.794922,-0.026646,0.033574,0.06102,0.023926,-2.010254,0.04541,-0.013057,0.006662,-0.006662,warming_up,-,0.000,-,right_chewing
1609949.0,-0.537109,1.879395,0.8125,-0.046098,0.014389,0.040502,0.017578,-2.000488,0.06543,-0.038637,0.016521,-0.026913,warming_up,-,0.000,-,right_chewing
1609959.0,-0.532715,1.87207,0.802734,-0.07008,0.003464,0.023449,0.018555,-2.004395,0.078613,-0.049296,0.043966,-0.041835,warming_up,-,0.000,-,right_chewing
1609969.0,-0.518555,1.876465,0.79834,-0.081538,0.027712,0.028778,0.009277,-1.998047,0.075684,-0.091663,0.071678,-0.049562,warming_up,-,0.000,-,right_chewing
1609979.0,-0.532715,1.87207,0.806152,-0.049029,0.03091,0.025047,0.025391,-2.003906,0.063965,-0.119375,0.063685,-0.042368,warming_up,-,0.000,-,right_chewing
1609989.0,-0.530273,1.873535,0.804199,-0.013856,0.0437,0.020518,0.022461,-2.003418,0.051758,-0.149485,0.073544,-0.05196,warming_up,-,0.000,-,right_chewing
1609999.0,-0.539062,1.874023,0.818848,0.004263,0.086067,0.01732,-0.000488,-1.998535,0.051758,-0.166273,0.057023,0.002398,warming_up,-,0.000,-,right_chewing
1610009.0,-0.536133,1.862305,0.835449,0.05276,0.112447,0.03091,0.025391,-2.010254,0.055176,-0.158545,0.110582,-0.021583,warming_up,-,0.000,-,right_chewing
1610019.0,-0.541016,1.856934,0.828613,0.057023,0.192652,0.051427,0.012207,-2.005859,0.057617,-0.159611,0.145755,-0.025047,warming_up,-,0.000,-,right_chewing
1610029.0,-0.556641,1.869629,0.799805,0.054092,0.255005,0.044233,0.011719,-2.006348,0.043457,-0.166806,0.163608,-0.02185,warming_up,-,0.000,-,right_chewing
1610039.0,-0.555664,1.862793,0.796875,0.041302,0.261933,0.03464,0.003906,-2.003418,0.014648,-0.157746,0.15215,-0.009326,warming_up,-,0.000,-,right_chewing
1610049.0,-0.549805,1.859863,0.794922,0.038904,0.22223,0.017587,0.000488,-1.990234,0.025391,-0.128435,0.148153,0.023449,warming_up,-,0.000,-,right_chewing
1610059.0,-0.554687,1.873535,0.79541,-0.000533,0.205176,-0.004263,0.01123,-2.0,0.035156,-0.119908,0.128168,0.029577,warming_up,-,0.000,-,right_chewing
1610069.0,-0.532715,1.89209,0.809082,-0.051694,0.211038,0.023449,0.025879,-2.001465,0.033691,-0.101522,0.10925,0.036772,warming_up,-,0.000,-,right_chewing
1610079.0,-0.550293,1.880859,0.79834,-0.050095,0.193452,0.024248,0.027344,-2.004395,0.03418,-0.039703,0.160677,-0.02185,warming_up,-,0.000,-,right_chewing
1610089.0,-0.552246,1.887695,0.781738,-0.026913,0.164141,0.011724,0.029297,-1.996582,0.03418,-0.01359,0.131632,-0.030377,warming_up,-,0.000,-,right_chewing
1610099.0,-0.543457,1.893555,0.79541,0.004263,0.145222,0.021051,0.036621,-2.008301,0.039551,-0.017054,0.097792,0.002665,warming_up,-,0.000,-,right_chewing
1610109.0,-0.528809,1.898926,0.79248,-0.024248,0.167871,0.066083,0.032715,-1.999023,0.037598,-0.027979,0.126836,0.024248,warming_up,-,0.000,-,right_chewing
1610119.0,-0.553223,1.869629,0.794922,-0.092462,0.169204,0.085268,0.003418,-1.980469,0.030273,-0.111115,0.041835,0.055957,warming_up,-,0.000,-,right_chewing
1610129.0,-0.562988,1.860352,0.801758,-0.062352,0.136429,0.056224,0.026367,-1.993164,0.025391,-0.130034,-0.015455,0.112181,warming_up,-,0.000,-,right_chewing
