time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
31187.0,0.178711,1.852539,0.92627,-3.110683,-1.433835,1.329115,0.243164,-1.661133,1.344238,0.545982,1.758919,2.314493,still,0.000000,session_20260606_121208
31197.0,0.252441,1.673828,1.016113,-3.437632,-1.427706,2.077075,-0.054199,-1.513184,1.246094,0.41728,1.617161,2.028312,still,0.010000,session_20260606_121208
31207.0,0.225586,1.808105,1.09082,-3.935651,-1.085035,2.365387,-0.277832,-1.342285,1.240723,0.963262,1.273691,1.007228,still,0.020000,session_20260606_121208
31217.0,-0.191895,2.10791,1.276367,-4.950873,-1.842854,2.043234,-0.260742,-1.319824,1.23291,0.980315,1.055191,0.468441,still,0.030000,session_20260606_121208
31227.0,-0.095215,2.230957,1.170898,-4.325752,-1.959032,2.672352,-0.192383,-1.276367,1.348633,0.775406,0.885188,0.27419,still,0.040000,session_20260606_121208
31237.0,0.297363,2.010742,0.748047,-2.890318,-2.742698,2.294775,-0.017578,-1.171387,1.489746,0.707991,1.087966,-0.098058,still,0.050000,session_20260606_121208
31247.0,0.32666,1.62793,0.878906,-0.874796,-2.876995,3.677449,0.159668,-1.309082,1.484863,0.530527,1.266496,-0.398095,still,0.060000,session_20260606_121208
31257.0,0.335449,1.797852,0.851074,0.024248,-2.708325,3.999335,0.150391,-1.474121,1.444824,0.504147,1.340306,-0.484429,still,0.070000,session_20260606_121208
31267.0,0.101563,1.069336,1.327148,0.118309,-0.80898,3.25404,0.085937,-1.486328,1.401367,0.058888,1.528695,-0.297372,still,0.080000,session_20260606_121208
31277.0,0.242676,1.533691,1.228516,0.774073,-0.964594,3.398196,-0.015137,-1.26709,1.408691,0.174799,1.262499,-0.654165,still,0.090000,session_20260606_121208
31287.0,0.515625,1.453125,1.143066,0.210505,-0.947541,2.479433,0.036621,-1.27832,1.400391,0.220631,1.508178,-0.746095,still,0.100000,session_20260606_121208
31297.0,0.748535,1.43457,1.186523,-0.072744,-0.33068,1.747461,0.177246,-1.368652,1.430176,-0.340806,1.25344,-0.580355,still,0.110000,session_20260606_121208
31307.0,0.763672,1.775391,1.166504,-0.302968,0.578224,1.883623,0.255859,-1.464844,1.464844,-0.586484,1.189222,-0.167871,still,0.120000,session_20260606_121208
31317.0,0.599609,1.658691,1.34375,-1.014689,0.757819,0.962995,0.32666,-1.659668,1.441895,-0.532925,1.008028,0.075142,still,0.130000,session_20260606_121208
31327.0,0.642578,2.061523,1.049805,-1.074643,0.750358,-0.35253,0.222656,-1.677246,1.397461,-0.291776,1.100224,0.252606,still,0.140000,session_20260606_121208
31337.0,0.77832,1.743164,1.015137,-0.904107,0.981115,-0.375179,0.07373,-1.650879,1.356445,-0.176398,0.986178,0.159877,still,0.150000,session_20260606_121208
31347.0,0.660645,1.84668,1.030762,-0.785265,1.295008,0.288845,0.032227,-1.651855,1.380371,0.035972,0.928355,0.220897,still,0.160000,session_20260606_121208
31357.0,0.560059,1.64209,1.169922,-0.231289,1.143657,0.222763,0.019043,-1.646973,1.348633,0.007461,0.795657,0.25687,still,0.170000,session_20260606_121208
31367.0,0.36084,1.798828,1.070313,0.093795,1.462879,0.860407,-0.033203,-1.591309,1.320313,0.123372,0.814842,0.242481,still,0.180000,session_20260606_121208
31377.0,0.327637,1.660156,1.101074,0.80445,1.849782,0.758885,-0.170898,-1.640625,1.296875,0.20944,0.810579,0.114579,still,0.190000,session_20260606_121208
31387.0,0.193359,2.093262,1.088379,1.001099,2.397096,0.436732,-0.226074,-1.586914,1.276855,0.137228,0.590214,0.066349,still,0.200000,session_20260606_121208
31397.0,0.28418,2.304688,1.07959,0.690404,2.120242,1.728276,-0.081543,-1.526367,1.356934,0.017054,0.623789,0.150818,still,0.210000,session_20260606_121208
31407.0,0.469727,1.913574,1.039551,0.459115,2.42774,0.732505,-0.186035,-1.519531,1.369629,-0.018919,0.664824,0.382907,still,0.220000,session_20260606_121208
31417.0,0.360352,1.86084,1.116699,0.578224,1.891351,0.646172,-1.307617,-1.727539,1.353516,1.172435,-1.326184,3.255106,still,0.230000,session_20260606_121208
31427.0,0.397949,1.538086,1.073242,0.703994,1.819672,0.893182,-0.380859,-2.021973,1.035156,2.720848,-2.551378,2.764815,still,0.240000,session_20260606_121208
31437.0,0.125,1.694336,1.22168,0.36079,1.193219,2.001666,0.140625,-2.227051,1.27002,2.186591,-2.118377,0.241681,still,0.250000,session_20260606_121208
31447.0,0.118164,1.848633,1.268555,0.382107,0.871599,1.928655,0.07666,-1.516113,1.390625,1.159645,-1.567599,0.433534,still,0.260000,session_20260606_121208
31457.0,0.039063,1.582031,1.246094,0.908904,-0.047697,2.183926,0.163086,-1.736328,1.430176,1.495654,-1.241449,-0.169204,still,0.270000,session_20260606_121208
31467.0,0.17627,1.25293,1.348145,1.701896,0.66136,2.066417,0.083984,-1.430664,1.327148,1.036006,-0.833495,-0.158279,still,0.280000,session_20260606_121208
31477.0,0.228516,1.436523,1.316895,2.043501,1.250508,1.858309,0.146973,-1.266113,1.561035,0.603804,-0.661893,-0.07381,still,0.290000,session_20260606_121208
31487.0,0.462402,1.348633,1.232422,3.765115,3.431237,2.116511,0.10498,-1.420898,1.540039,1.217201,0.007994,-0.337341,still,0.300000,session_20260606_121208
31497.0,0.716797,1.28125,0.913574,3.827734,3.568998,2.124772,0.123535,-1.51416,1.504395,0.96193,0.245678,0.015988,still,0.310000,session_20260606_121208
31507.0,0.902832,1.588867,0.835937,4.440597,6.763884,2.710989,-0.264648,-1.288574,1.258301,-0.515605,0.719982,0.232622,still,0.320000,session_20260606_121208
