event_index,elapsed_s,time_ms,event,activity_label
1,0.790000,4635038.000,chew,chewing
2,2.290000,4636538.000,chew,chewing
3,3.000000,4637248.000,chew,chewing
4,4.100000,4638348.000,chew,chewing
5,5.040000,4639288.000,chew,chewing
6,5.890000,4640138.000,chew,chewing
7,6.880000,4641128.000,chew,chewing
8,7.760000,4642008.000,chew,chewing
9,8.650000,4642898.000,chew,chewing
10,9.600000,4643848.000,chew,chewing
11,10.560000,4644808.000,chew,chewing
12,11.530000,4645778.000,chew,chewing
13,12.500000,4646748.000,chew,chewing
14,13.450000,4647698.000,chew,chewing
15,14.260000,4648508.000,chew,chewing
16,15.210000,4649458.000,chew,chewing
17,16.110000,4650358.000,chew,chewing
18,17.080000,4651328.000,chew,chewing
19,17.890000,4652138.000,chew,chewing
20,18.930000,4653178.000,chew,chewing
21,19.760000,4654008.000,chew,chewing
22,20.670000,4654918.000,chew,chewing
23,21.550000,4655798.000,chew,chewing
24,22.460000,4656708.000,chew,chewing
25,23.420000,4657668.000,chew,chewing
26,24.310000,4658558.000,chew,chewing
27,25.450000,4659698.000,chew,chewing
28,26.200000,4660448.000,chew,chewing
29,27.010000,4661258.000,chew,chewing
30,27.950000,4662198.000,chew,chewing
31,28.820000,4663068.000,chew,chewing
32,29.940000,4664188.000,chew,chewing
33,30.630000,4664878.000,chew,chewing
34,31.630000,4665878.000,chew,chewing
35,32.520000,4666768.000,chew,chewing
36,33.410000,4667658.000,chew,chewing
37,34.410000,4668658.000,chew,chewing
38,35.520000,4669768.000,chew,chewing
39,36.290000,4670538.000,chew,chewing
40,37.290000,4671538.000,chew,chewing
41,38.210000,4672458.000,chew,chewing
42,39.200000,4673448.000,chew,chewing
43,40.190000,4674438.000,chew,chewing
44,41.130000,4675378.000,chew,chewing
45,42.010000,4676258.000,chew,chewing
46,42.940000,4677188.000,chew,chewing
47,43.930000,4678178.000,chew,chewing
48,44.870000,4679118.000,chew,chewing
49,45.770000,4680018.000,chew,chewing
50,46.590000,4680838.000,chew,chewing
51,47.510000,4681758.000,chew,chewing
52,48.550000,4682798.000,chew,chewing
53,49.400000,4683648.000,chew,chewing
54,50.200000,4684448.000,chew,chewing
55,51.170000,4685418.000,chew,chewing
56,52.050000,4686298.000,chew,chewing
57,52.910000,4687158.000,chew,chewing
