time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
6122435.0,-0.295898,1.927246,-0.000488,0.142824,0.089798,0.113247,-0.385254,-1.891602,0.6875,0.134031,0.071145,-0.159078,warming_up,-,0.000,-,chewing
6122445.0,-0.277832,1.928711,0.005371,0.142557,0.073011,0.110582,-0.390137,-1.867188,0.690918,0.061286,0.066349,-0.126303,warming_up,-,0.000,-,chewing
6122455.0,-0.272461,1.945313,-0.004395,0.144689,0.040769,0.106052,-0.35498,-1.859375,0.692383,-0.017587,0.090331,-0.128435,warming_up,-,0.000,-,chewing
6122465.0,-0.263184,1.961426,0.000488,0.16494,0.035706,0.132698,-0.342285,-1.876465,0.67627,-0.057822,0.097525,-0.087666,warming_up,-,0.000,-,chewing
6122475.0,-0.27832,1.955566,-0.011719,0.184392,0.044499,0.130034,-0.331055,-1.869629,0.680664,-0.072211,0.082603,-0.007727,warming_up,-,0.000,-,chewing
6122485.0,-0.270508,1.952148,0.00293,0.193452,0.039703,0.105786,-0.32666,-1.883789,0.66748,-0.087933,0.085801,-0.017853,warming_up,-,0.000,-,chewing
6122495.0,-0.286133,1.94043,-0.007813,0.215035,0.066882,0.094061,-0.341797,-1.879395,0.66748,-0.098858,0.072744,-0.001332,warming_up,-,0.000,-,chewing
6122505.0,-0.276367,1.94043,-0.015625,0.252606,0.074343,0.071412,-0.344238,-1.887207,0.681641,-0.099657,0.049828,-0.029044,warming_up,-,0.000,-,chewing
6122515.0,-0.289063,1.929688,-0.001953,0.234221,0.1303,0.10019,-0.342773,-1.880371,0.680176,-0.100989,0.047697,-0.031975,warming_up,-,0.000,-,chewing
6122525.0,-0.274414,1.938965,-0.003418,0.244346,0.138294,0.129767,-0.346191,-1.891113,0.683105,-0.110848,0.054358,-0.048496,warming_up,-,0.000,-,chewing
6122535.0,-0.285645,1.939453,-0.001953,0.291243,0.148686,0.12204,-0.353516,-1.895508,0.674316,-0.122306,0.088998,-0.07381,warming_up,-,0.000,-,chewing
6122545.0,-0.257324,1.931152,-0.009766,0.336542,0.135363,0.100456,-0.349121,-1.904785,0.669922,-0.105519,0.081538,-0.067681,warming_up,-,0.000,-,chewing
6122555.0,-0.267578,1.92334,0.0,0.347467,0.111648,0.103387,-0.32959,-1.894531,0.661133,-0.108983,0.060487,-0.053292,warming_up,-,0.000,-,chewing
6122565.0,-0.259766,1.933594,-0.016602,0.33894,0.113779,0.104453,-0.343262,-1.89209,0.648437,-0.079139,0.074343,-0.054092,warming_up,-,0.000,-,chewing
6122575.0,-0.261719,1.929688,-0.024902,0.318956,0.146288,0.159078,-0.345703,-1.890625,0.669434,-0.098325,0.113779,-0.087933,warming_up,-,0.000,-,chewing
6122585.0,-0.259766,1.93457,-0.012695,0.293642,0.201446,0.251807,-0.349609,-1.894531,0.664551,-0.116711,0.207041,-0.170003,warming_up,-,0.000,-,chewing
6122595.0,-0.24707,1.939453,-0.009277,0.268861,0.202245,0.277121,-0.354004,-1.888184,0.651855,-0.162009,0.241149,-0.23875,warming_up,-,0.000,-,chewing
6122605.0,-0.245605,1.9375,-0.016602,0.25687,0.19958,0.315758,-0.380859,-1.904785,0.65918,-0.196383,0.192386,-0.200113,warming_up,-,0.000,-,chewing
6122615.0,-0.258789,1.945801,-0.027832,0.267795,0.176398,0.345069,-0.302734,-1.883301,0.655273,-0.219032,0.136429,-0.116444,warming_up,-,0.000,-,chewing
6122625.0,-0.262695,1.944824,-0.033203,0.261666,0.123106,0.320288,-0.345703,-1.911133,0.655273,-0.204377,0.180928,-0.14309,warming_up,-,0.000,-,chewing
6122635.0,-0.243652,1.96582,-0.055176,0.260067,0.12577,0.387969,-0.32959,-1.89502,0.658203,-0.198781,0.176665,-0.118309,warming_up,-,0.000,-,chewing
6122645.0,-0.257813,1.963379,-0.063477,0.272591,0.127369,0.422343,-0.330566,-1.893066,0.681152,-0.161743,0.212104,-0.136162,warming_up,-,0.000,-,chewing
6122655.0,-0.247559,1.955566,-0.04248,0.315492,0.110582,0.47004,-0.339355,-1.89209,0.672852,-0.118309,0.286447,-0.166273,warming_up,-,0.000,-,chewing
6122665.0,-0.19043,1.93457,-0.004395,0.55664,0.14389,0.557706,-0.279297,-1.86084,0.737305,-0.062885,0.64324,-0.311761,warming_up,-,0.000,-,chewing
6122675.0,-0.177734,1.961914,-0.075684,0.37811,0.447923,0.740766,-0.375,-1.90332,0.575684,-0.208107,0.63125,-0.322686,warming_up,-,0.000,-,chewing
6122685.0,-0.265625,1.938965,-0.070801,0.255005,0.334144,0.847884,-0.383789,-1.89209,0.619141,-0.028245,0.290444,-0.297639,warming_up,-,0.000,-,chewing
6122695.0,-0.26123,1.935547,-0.050781,0.305366,0.135896,0.697332,-0.341797,-1.885742,0.630859,0.047963,0.015988,-0.057556,warming_up,-,0.000,-,chewing
6122705.0,-0.228027,1.944824,-0.049316,0.404757,0.010658,0.579822,-0.316895,-1.913086,0.630859,0.050095,-0.080738,0.007194,warming_up,-,0.000,-,chewing
6122715.0,-0.208984,1.955078,-0.064453,0.460447,-0.005063,0.563568,-0.333008,-1.907227,0.644531,0.005329,-0.117776,0.033308,warming_up,-,0.000,-,chewing
6122725.0,-0.180664,1.973633,-0.07666,0.440995,-0.02638,0.508144,-0.337402,-1.90625,0.650879,-0.050894,-0.127636,0.074077,warming_up,-,0.000,-,chewing
6122735.0,-0.188965,1.968262,-0.065918,0.427406,0.032775,0.555308,-0.36084,-1.91748,0.648437,-0.088998,-0.138028,0.102588,warming_up,-,0.000,-,chewing
6122745.0,-0.172852,1.95459,-0.060547,0.407954,0.112181,0.480698,-0.255371,-1.860352,0.637207,-0.151084,-0.071678,0.115645,warming_up,-,0.000,-,chewing
6122755.0,-0.182129,1.93457,-0.055176,0.369051,0.195051,0.358658,-0.329102,-1.894043,0.625977,-0.168404,0.094594,0.0,warming_up,-,0.000,-,chewing
6122765.0,-0.172852,1.929688,-0.081543,0.305899,0.302701,0.325617,-0.371094,-1.895508,0.648437,-0.158012,-0.014389,0.076475,warming_up,-,0.000,-,chewing
6122775.0,-0.1875,1.92334,-0.078125,0.266729,0.330413,0.266196,-0.349609,-1.90332,0.654297,-0.12657,-0.049562,0.066083,warming_up,-,0.000,-,chewing
6122785.0,-0.20752,1.929688,-0.085937,0.232355,0.290711,0.214769,-0.331055,-1.895996,0.648437,-0.140692,-0.045032,0.018119,warming_up,-,0.000,-,chewing
6122795.0,-0.212402,1.930176,-0.103516,0.198515,0.283783,0.220631,-0.334473,-1.906738,0.631348,-0.152949,-0.034907,-0.002665,warming_up,-,0.000,-,chewing
6122805.0,-0.156738,1.938477,-0.090332,0.171335,0.306432,0.27872,-0.348145,-1.89502,0.662598,-0.208907,-0.033841,0.000533,warming_up,-,0.000,-,chewing
6122815.0,-0.162598,1.932617,-0.102051,0.124971,0.279519,0.270992,-0.341797,-1.901855,0.632812,-0.162276,-0.037838,-0.001865,warming_up,-,0.000,-,chewing
6122825.0,-0.16748,1.930176,-0.106445,0.119642,0.222496,0.237152,-0.34082,-1.901367,0.655273,-0.176665,-0.010392,-0.027179,warming_up,-,0.000,-,chewing
6122835.0,-0.150879,1.92627,-0.068359,0.078873,0.191853,0.227292,-0.337402,-1.900391,0.629395,-0.193185,-0.019985,-0.010392,warming_up,-,0.000,-,chewing
6122845.0,-0.154785,1.936523,-0.118652,0.062086,0.215035,0.255271,-0.336914,-1.90625,0.63623,-0.202511,-0.02638,0.036772,warming_up,-,0.000,-,chewing
6122855.0,-0.134277,1.936523,-0.08252,0.043433,0.231023,0.287779,-0.331543,-1.90332,0.633301,-0.210772,-0.018386,0.017853,warming_up,-,0.000,-,chewing
