time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,activity_label
5297395.0,-0.638672,1.824707,-0.021973,0.225694,0.093262,0.359458,0.142578,-1.872559,0.812012,0.109516,0.018652,-0.159611,chewing
5297405.0,-0.630371,1.838379,-0.040527,0.244346,0.055424,0.272591,0.126953,-1.876953,0.816406,0.094861,-0.037305,-0.142291,chewing
5297415.0,-0.611328,1.848633,-0.058105,0.212904,0.03917,0.246211,0.119629,-1.868164,0.822266,0.034907,-0.089531,-0.108983,chewing
5297425.0,-0.599609,1.844238,-0.053711,0.180395,-0.003997,0.22596,0.143066,-1.854004,0.838867,0.058622,-0.00453,-0.066882,chewing
5297435.0,-0.61084,1.834961,-0.043457,0.114579,-0.004263,0.203044,0.146484,-1.847656,0.850098,0.035173,0.103121,-0.112447,chewing
5297445.0,-0.645508,1.812988,-0.040527,0.075409,-0.072211,0.129501,0.138184,-1.834473,0.850586,0.032242,0.187323,-0.176398,chewing
5297455.0,-0.643066,1.814941,-0.029785,0.045032,-0.141492,0.032508,0.11084,-1.854004,0.852051,0.047963,0.197449,-0.201179,chewing
5297465.0,-0.63623,1.829102,-0.033203,0.037305,-0.129234,-0.010658,0.11377,-1.874023,0.805664,0.03091,0.162809,-0.166806,chewing
5297475.0,-0.634277,1.833008,-0.031738,0.038904,-0.084202,-0.006928,0.111816,-1.868164,0.821777,0.010126,0.155614,-0.120708,chewing
5297485.0,-0.638672,1.836914,-0.070312,0.059155,-0.092462,0.032775,0.113281,-1.877441,0.828125,-0.013057,0.128168,-0.089798,chewing
5297495.0,-0.629883,1.853027,-0.080078,0.001066,-0.124172,0.03917,0.124023,-1.859863,0.854004,-0.047963,0.112447,-0.010126,chewing
5297505.0,-0.626465,1.858398,-0.060547,-0.054358,-0.133764,0.035706,0.130371,-1.851563,0.845215,-0.074343,0.131366,0.002398,chewing
5297515.0,-0.629883,1.860352,-0.05127,-0.102855,-0.132965,0.023982,0.124512,-1.879395,0.816406,-0.121507,0.138028,-0.006129,chewing
5297525.0,-0.637207,1.869629,-0.049316,-0.122306,-0.142025,0.026113,0.154297,-1.849121,0.838379,-0.097525,0.111381,-0.020251,chewing
5297535.0,-0.635742,1.867188,-0.050293,-0.096992,-0.127103,0.019452,0.147949,-1.845703,0.848633,-0.116977,0.136695,-0.057556,chewing
5297545.0,-0.643066,1.87207,-0.052734,-0.083403,-0.101522,0.009593,0.128418,-1.865234,0.828613,-0.100989,0.102588,-0.073011,chewing
5297555.0,-0.644531,1.856934,-0.043945,-0.11751,-0.106585,0.000533,0.141113,-1.87207,0.851074,-0.03544,0.043167,-0.075942,chewing
5297565.0,-0.628906,1.831055,-0.028809,-0.12657,-0.124172,-0.005063,0.131836,-1.852051,0.842773,-0.037305,0.021583,-0.055424,chewing
5297575.0,-0.623047,1.839844,-0.03125,-0.106052,-0.110049,0.049296,0.135254,-1.874023,0.833008,-0.013856,-0.02558,0.012524,chewing
5297585.0,-0.655273,1.85791,-0.035156,-0.128435,-0.159345,-0.001332,0.138184,-1.881836,0.841309,-0.004796,-0.092995,0.010925,chewing
5297595.0,-0.618164,1.88916,-0.036621,-0.096992,-0.148953,-0.025047,0.134766,-1.885742,0.801758,-0.017054,-0.127103,0.011191,chewing
5297605.0,-0.614746,1.906738,-0.034668,-0.099124,-0.148686,-0.015988,0.126953,-1.897949,0.762695,-0.038104,-0.199847,0.009326,chewing
5297615.0,-0.62793,1.879883,-0.035156,-0.114845,-0.173467,-0.031443,0.141113,-1.883301,0.803223,-0.045832,-0.272591,-0.006395,chewing
5297625.0,-0.628418,1.851074,-0.006348,-0.05276,-0.208907,-0.029577,0.189453,-1.817383,0.872559,-0.049562,-0.193452,-0.054092,chewing
5297635.0,-0.644531,1.847656,-0.011719,0.042101,-0.269127,-0.053559,0.13623,-1.84668,0.850586,-0.093528,-0.032508,-0.083669,chewing
5297645.0,-0.628906,1.829102,-0.016602,0.085268,-0.338141,-0.078606,0.132324,-1.842285,0.87207,-0.088466,0.006662,-0.057556,chewing
5297655.0,-0.640137,1.836426,-0.005859,0.079139,-0.3051,-0.033841,0.129883,-1.851074,0.837402,-0.089265,0.023715,0.010392,chewing
5297665.0,-0.652832,1.833984,-0.022461,0.063685,-0.276588,0.017853,0.153809,-1.873535,0.836914,-0.057822,-0.019185,0.018919,chewing
5297675.0,-0.644531,1.852539,-0.009277,0.038104,-0.221697,0.074077,0.164551,-1.861328,0.810059,-0.072211,-0.044766,0.029044,chewing
5297685.0,-0.630859,1.846191,-0.004883,0.008527,-0.19585,0.077807,0.163574,-1.858398,0.814453,-0.032508,-0.079406,0.014389,chewing
5297695.0,-0.617187,1.844238,0.011719,-0.026646,-0.138028,0.108184,0.157227,-1.864258,0.816895,-0.027446,-0.060753,-0.013057,chewing
5297705.0,-0.591797,1.824219,0.018066,-0.043433,-0.115112,0.152683,0.139648,-1.873535,0.811523,-0.034907,-0.033841,-0.046098,chewing
5297715.0,-0.60791,1.806641,0.015625,-0.130833,-0.161743,0.159078,0.135742,-1.880859,0.816895,-0.027979,0.007727,-0.041035,chewing
5297725.0,-0.573242,1.832031,0.009277,-0.154015,-0.133498,0.227825,0.116211,-1.88916,0.808594,-0.046364,0.047164,-0.03464,chewing
5297735.0,-0.621094,1.84375,0.008301,-0.282184,-0.129767,0.264064,0.134766,-1.852051,0.827148,-0.054891,0.086334,-0.055957,chewing
5297745.0,-0.633301,1.859375,0.016113,-0.288046,-0.050095,0.268861,0.144043,-1.871582,0.823242,-0.067681,0.116178,-0.043433,chewing
5297755.0,-0.64209,1.914551,0.004883,-0.277121,0.062352,0.258469,0.153809,-1.85791,0.812012,-0.062086,0.131632,-0.051427,chewing
5297765.0,-0.61377,1.926758,0.023926,-0.230224,0.242747,0.286447,0.147949,-1.859375,0.809082,-0.054092,0.121507,-0.058089,chewing
5297775.0,-0.640137,1.898438,0.011719,-0.138827,0.330946,0.245945,0.154785,-1.868652,0.796875,-0.047963,0.087666,-0.047164,chewing
5297785.0,-0.632324,1.887207,0.020508,-0.088199,0.329614,0.206242,0.164062,-1.866211,0.789062,-0.015188,0.050095,-0.050361,chewing
5297795.0,-0.595215,1.898438,0.021484,-0.064484,0.330413,0.168671,0.162109,-1.864746,0.798828,-0.009326,0.021051,-0.052493,chewing
