event_index,elapsed_s,time_ms,event,activity_label
1,2.880000,5300275.000,chew,chewing
2,3.710000,5301105.000,chew,chewing
3,4.560000,5301955.000,chew,chewing
4,5.430000,5302825.000,chew,chewing
5,6.370000,5303765.000,chew,chewing
6,7.220000,5304615.000,chew,chewing
7,8.210000,5305605.000,chew,chewing
8,9.210000,5306605.000,chew,chewing
9,10.110000,5307505.000,chew,chewing
10,11.030000,5308425.000,chew,chewing
11,11.940000,5309335.000,chew,chewing
12,12.840000,5310235.000,chew,chewing
13,13.750000,5311145.000,chew,chewing
14,14.720000,5312115.000,chew,chewing
15,15.570000,5312965.000,chew,chewing
16,16.530000,5313925.000,chew,chewing
17,17.380000,5314775.000,chew,chewing
18,18.340000,5315735.000,chew,chewing
19,19.350000,5316745.000,chew,chewing
20,20.250000,5317645.000,chew,chewing
21,21.150000,5318545.000,chew,chewing
22,22.110000,5319505.000,chew,chewing
23,22.810000,5320205.000,chew,chewing
24,23.590000,5320985.000,chew,chewing
25,24.360000,5321755.000,chew,chewing
26,25.070000,5322465.000,chew,chewing
27,25.850000,5323245.000,chew,chewing
28,26.500000,5323895.000,chew,chewing
29,27.330000,5324725.000,chew,chewing
30,28.170000,5325565.000,chew,chewing
31,28.930000,5326325.000,chew,chewing
32,29.700000,5327095.000,chew,chewing
33,30.470000,5327865.000,chew,chewing
34,31.190000,5328585.000,chew,chewing
35,31.900000,5329295.000,chew,chewing
36,32.670000,5330065.000,chew,chewing
37,33.380000,5330775.000,chew,chewing
38,34.090000,5331485.000,chew,chewing
39,34.860000,5332255.000,chew,chewing
40,35.630000,5333025.000,chew,chewing
41,36.390000,5333785.000,chew,chewing
42,37.100000,5334495.000,chew,chewing
43,37.880000,5335275.000,chew,chewing
44,38.610000,5336005.000,chew,chewing
45,39.140000,5336535.000,chew,chewing
46,39.730000,5337125.000,chew,chewing
47,40.260000,5337655.000,chew,chewing
48,40.850000,5338245.000,chew,chewing
49,41.440000,5338835.000,chew,chewing
50,42.030000,5339425.000,chew,chewing
51,42.570000,5339965.000,chew,chewing
52,44.010000,5341405.000,chew,chewing
53,44.550000,5341945.000,chew,chewing
54,45.070000,5342465.000,chew,chewing
55,45.600000,5342995.000,chew,chewing
56,46.120000,5343515.000,chew,chewing
57,46.640000,5344035.000,chew,chewing
58,47.220000,5344615.000,chew,chewing
59,47.730000,5345125.000,chew,chewing
60,48.320000,5345715.000,chew,chewing
61,48.960000,5346355.000,chew,chewing
62,49.540000,5346935.000,chew,chewing
63,50.190000,5347585.000,chew,chewing
64,50.630000,5348025.000,chew,chewing
65,51.160000,5348555.000,chew,chewing
66,51.700000,5349095.000,chew,chewing
67,52.360000,5349755.000,chew,chewing
68,52.890000,5350285.000,chew,chewing
69,53.350000,5350745.000,chew,chewing
70,53.950000,5351345.000,chew,chewing
71,54.480000,5351875.000,chew,chewing
72,55.060000,5352455.000,chew,chewing
73,55.600000,5352995.000,chew,chewing
74,56.180000,5353575.000,chew,chewing
75,56.710000,5354105.000,chew,chewing
