time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
5893900.0,-0.587402,0.982422,-1.295898,0.049828,0.019985,0.011991,-1.86084,0.199707,-0.565918,-0.028778,0.055957,-0.008527,warming_up,-,0.000,-,non_chewing
5893910.0,-0.587891,0.978027,-1.317383,0.051161,0.015988,0.018919,-1.868164,0.205566,-0.574219,-0.036239,0.03464,-0.004796,warming_up,-,0.000,-,non_chewing
5893920.0,-0.583008,0.976562,-1.317383,0.050361,0.018119,0.005862,-1.861816,0.211914,-0.57373,-0.028245,0.046631,-0.00453,warming_up,-,0.000,-,non_chewing
5893930.0,-0.583984,0.971191,-1.320313,0.045565,0.022649,0.00826,-1.856445,0.199707,-0.582031,-0.028511,0.048496,-0.008527,warming_up,-,0.000,-,non_chewing
5893940.0,-0.578613,0.977051,-1.317871,0.04743,0.020784,0.016521,-1.864258,0.200195,-0.568359,-0.03464,0.045832,-0.006129,warming_up,-,0.000,-,non_chewing
5893950.0,-0.58252,0.976074,-1.327148,0.057289,0.022916,0.015721,-1.859375,0.208984,-0.568848,-0.030377,0.037305,-0.006662,warming_up,-,0.000,-,non_chewing
5893960.0,-0.586914,0.974121,-1.33252,0.049029,0.023449,0.006662,-1.857422,0.210937,-0.563965,-0.036505,0.041302,-0.015455,warming_up,-,0.000,-,non_chewing
5893970.0,-0.584473,0.976074,-1.318359,0.049562,0.016787,0.012524,-1.86084,0.199707,-0.567383,-0.029577,0.039703,-0.015721,warming_up,-,0.000,-,non_chewing
5893980.0,-0.584473,0.972168,-1.322754,0.049296,0.018919,0.005596,-1.862305,0.20459,-0.570312,-0.03544,0.03011,-0.014389,warming_up,-,0.000,-,non_chewing
5893990.0,-0.592773,0.973633,-1.325684,0.046897,0.022383,0.01279,-1.86084,0.19873,-0.577637,-0.031709,0.041568,-0.010126,warming_up,-,0.000,-,non_chewing
5894000.0,-0.589355,0.976074,-1.315918,0.051427,0.028245,0.011991,-1.851563,0.208008,-0.560547,-0.037305,0.040236,-0.005596,warming_up,-,0.000,-,non_chewing
5894010.0,-0.578125,0.976074,-1.324219,0.041568,0.022383,0.015455,-1.86084,0.203125,-0.568848,-0.037305,0.039969,-0.005329,warming_up,-,0.000,-,non_chewing
5894020.0,-0.577637,0.972168,-1.32959,0.051694,0.023449,0.007727,-1.86084,0.20459,-0.568848,-0.040769,0.04823,-0.014655,warming_up,-,0.000,-,non_chewing
5894030.0,-0.590332,0.970703,-1.324707,0.047963,0.031709,0.007994,-1.860352,0.208008,-0.578125,-0.021317,0.036772,-0.007994,warming_up,-,0.000,-,non_chewing
5894040.0,-0.583984,0.979004,-1.322754,0.041568,0.025314,0.021317,-1.862793,0.208496,-0.570312,-0.034907,0.049029,0.001332,warming_up,-,0.000,-,non_chewing
5894050.0,-0.585449,0.973633,-1.324707,0.04743,0.017853,0.018119,-1.862305,0.20459,-0.570312,-0.036505,0.046364,-0.022916,warming_up,-,0.000,-,non_chewing
5894060.0,-0.583008,0.974609,-1.324707,0.042634,0.032508,0.011724,-1.863281,0.199707,-0.567871,-0.014389,0.041835,-0.006662,warming_up,-,0.000,-,non_chewing
5894070.0,-0.58252,0.975098,-1.317871,0.042634,0.024781,0.014922,-1.856445,0.202148,-0.571777,-0.02638,0.046897,-0.020784,warming_up,-,0.000,-,non_chewing
5894080.0,-0.586914,0.977051,-1.322754,0.04743,0.023449,0.01359,-1.859863,0.20166,-0.567871,-0.028778,0.0437,-0.009326,warming_up,-,0.000,-,non_chewing
5894090.0,-0.583008,0.977051,-1.322754,0.051161,0.017587,0.003997,-1.859375,0.204102,-0.570312,-0.031176,0.044766,-0.006395,warming_up,-,0.000,-,non_chewing
5894100.0,-0.579102,0.975586,-1.313965,0.047697,0.021583,0.011991,-1.865723,0.210937,-0.569824,-0.035972,0.039969,-0.020251,warming_up,-,0.000,-,non_chewing
5894110.0,-0.586426,0.969238,-1.316895,0.054625,0.015455,0.00906,-1.859375,0.214844,-0.563965,-0.030377,0.034907,-0.011191,warming_up,-,0.000,-,non_chewing
5894120.0,-0.583496,0.973145,-1.312988,0.042634,0.02638,0.022116,-1.853027,0.202637,-0.575195,-0.037305,0.045565,-0.013856,warming_up,-,0.000,-,non_chewing
5894130.0,-0.583008,0.973145,-1.322266,0.041302,0.028245,0.005329,-1.870117,0.201172,-0.568359,-0.037838,0.038637,-0.013057,warming_up,-,0.000,-,non_chewing
5894140.0,-0.585937,0.976562,-1.326172,0.047164,0.024248,0.010126,-1.863281,0.197754,-0.561523,-0.026913,0.038371,-0.01279,warming_up,-,0.000,-,non_chewing
5894150.0,-0.583496,0.97168,-1.324219,0.046098,0.027712,0.007461,-1.859863,0.20459,-0.571289,-0.038371,0.03917,-0.010925,warming_up,-,0.000,-,non_chewing
5894160.0,-0.581543,0.972656,-1.319336,0.050095,0.020784,0.017054,-1.859863,0.211914,-0.573242,-0.030377,0.038371,-0.015455,warming_up,-,0.000,-,non_chewing
5894170.0,-0.586914,0.978516,-1.323242,0.041035,0.023715,0.015188,-1.863281,0.210937,-0.581543,-0.035173,0.043966,-0.007994,warming_up,-,0.000,-,non_chewing
5894180.0,-0.578125,0.97168,-1.328613,0.048763,0.019185,0.013856,-1.86084,0.20459,-0.570801,-0.034907,0.045032,-0.008527,warming_up,-,0.000,-,non_chewing
5894190.0,-0.582031,0.975098,-1.335938,0.050628,0.020518,0.015721,-1.868164,0.202637,-0.569336,-0.030643,0.043433,-0.006662,warming_up,-,0.000,-,non_chewing
5894200.0,-0.581055,0.976074,-1.322266,0.042368,0.030377,0.006662,-1.862305,0.209473,-0.574707,-0.029044,0.043167,-0.013856,warming_up,-,0.000,-,non_chewing
5894210.0,-0.586914,0.97168,-1.308105,0.055957,0.024515,0.003464,-1.857422,0.211914,-0.574707,-0.038104,0.045032,-0.014123,warming_up,-,0.000,-,non_chewing
5894220.0,-0.572754,0.975098,-1.324219,0.047963,0.027446,0.010925,-1.851563,0.198242,-0.566895,-0.022116,0.048763,-0.009326,warming_up,-,0.000,-,non_chewing
5894230.0,-0.580566,0.97998,-1.331543,0.05196,0.013057,0.012524,-1.867676,0.206055,-0.570801,-0.036772,0.045032,-0.012524,warming_up,-,0.000,-,non_chewing
5894240.0,-0.588867,0.976562,-1.329102,0.043966,0.02185,0.019452,-1.862793,0.205566,-0.569336,-0.029844,0.035706,-0.010925,warming_up,-,0.000,-,non_chewing
5894250.0,-0.588379,0.970215,-1.324707,0.046098,0.018386,0.017587,-1.863281,0.204102,-0.57373,-0.045032,0.042368,-0.014655,warming_up,-,0.000,-,non_chewing
5894260.0,-0.583008,0.975586,-1.32373,0.046364,0.017587,0.01279,-1.864258,0.208496,-0.572754,-0.032242,0.035706,-0.01279,warming_up,-,0.000,-,non_chewing
5894270.0,-0.585449,0.980957,-1.32959,0.049828,0.021583,0.009859,-1.860352,0.209473,-0.570801,-0.038637,0.032508,-0.011458,warming_up,-,0.000,-,non_chewing
5894280.0,-0.588867,0.972656,-1.313477,0.05196,0.028778,0.011991,-1.860352,0.212402,-0.558105,-0.022916,0.040769,-0.009593,warming_up,-,0.000,-,non_chewing
5894290.0,-0.581055,0.977539,-1.32959,0.05196,0.023182,0.007994,-1.855469,0.202148,-0.569824,-0.033041,0.033574,-0.003464,warming_up,-,0.000,-,non_chewing
5894300.0,-0.578125,0.973633,-1.328613,0.055424,0.023982,0.019185,-1.862305,0.208496,-0.577148,-0.035173,0.039969,-0.00826,warming_up,-,0.000,-,non_chewing
5894310.0,-0.57959,0.978027,-1.335449,0.04743,0.020784,0.012257,-1.86377,0.202637,-0.574707,-0.030377,0.046364,-0.00826,warming_up,-,0.000,-,non_chewing
