time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1953392.0,-0.060547,-1.778809,0.977539,-0.23955,0.466043,-0.216101,warming_up,0.000000,0.000,non_chewing
1953402.0,-0.051758,-1.755371,0.973145,-0.287513,0.448989,-0.232089,warming_up,0.000000,0.000,non_chewing
1953412.0,-0.032227,-1.796387,0.972656,-0.239283,0.417813,-0.268328,warming_up,0.000000,0.000,non_chewing
1953422.0,-0.047852,-1.799316,0.975586,-0.22676,0.357326,-0.367185,warming_up,0.000000,0.000,non_chewing
1953432.0,-0.009277,-1.830078,0.965332,-0.261133,0.340273,-0.387436,warming_up,0.000000,0.000,non_chewing
1953442.0,-0.004395,-1.822266,0.940918,-0.185458,0.328815,-0.315225,warming_up,0.000000,0.000,non_chewing
1953452.0,-0.010254,-1.833496,0.938477,-0.214236,0.336276,-0.353063,warming_up,0.000000,0.000,non_chewing
1953462.0,-0.03125,-1.812012,0.936035,-0.241415,0.406622,-0.3917,warming_up,0.000000,0.000,non_chewing
1953472.0,-0.080566,-1.82373,0.932617,-0.297639,0.402358,-0.320554,warming_up,0.000000,0.000,non_chewing
1953482.0,-0.07373,-1.856445,0.913086,-0.289911,0.380242,-0.259002,warming_up,0.000000,0.000,non_chewing
1953492.0,-0.044434,-1.866699,0.912598,-0.234753,0.347734,-0.16947,warming_up,0.000000,0.000,non_chewing
1953502.0,-0.003906,-1.861328,0.904297,-0.241681,0.404224,-0.227292,warming_up,0.000000,0.000,non_chewing
1953512.0,-0.021973,-1.847656,0.928223,-0.235819,0.502548,-0.364254,warming_up,0.000000,0.000,non_chewing
1953522.0,-0.026367,-1.835449,0.910645,-0.240349,0.559305,-0.447124,warming_up,0.000000,0.000,non_chewing
1953532.0,-0.012207,-1.837402,0.922363,-0.246744,0.5657,-0.482564,warming_up,0.000000,0.000,non_chewing
1953542.0,-0.01709,-1.820313,0.91748,-0.249942,0.554775,-0.401559,warming_up,0.000000,0.000,non_chewing
1953552.0,-0.01416,-1.838867,0.906738,-0.240349,0.538521,-0.352263,warming_up,0.000000,0.000,non_chewing
1953562.0,-0.023437,-1.853027,0.895996,-0.249142,0.496953,-0.338407,warming_up,0.000000,0.000,non_chewing
1953572.0,-0.020508,-1.854492,0.919922,-0.237418,0.499084,-0.406355,warming_up,0.000000,0.000,non_chewing
1953582.0,-0.002441,-1.849121,0.895996,-0.232888,0.470306,-0.43087,warming_up,0.000000,0.000,non_chewing
1953592.0,0.006348,-1.868164,0.900879,-0.281118,0.507611,-0.466842,warming_up,0.000000,0.000,non_chewing
1953602.0,0.019531,-1.884766,0.880371,-0.294708,0.484429,-0.458049,warming_up,0.000000,0.000,non_chewing
1953612.0,0.023926,-1.878906,0.904785,-0.331746,0.439663,-0.470839,warming_up,0.000000,0.000,non_chewing
1953622.0,0.021484,-1.854004,0.901367,-0.345335,0.411152,-0.495887,warming_up,0.000000,0.000,non_chewing
1953632.0,0.02002,-1.829102,0.888672,-0.381841,0.373314,-0.517204,warming_up,0.000000,0.000,non_chewing
1953642.0,0.030273,-1.813965,0.876465,-0.435133,0.391167,-0.43007,warming_up,0.000000,0.000,non_chewing
1953652.0,0.020996,-1.850098,0.870117,-0.476435,0.425008,-0.362123,warming_up,0.000000,0.000,non_chewing
1953662.0,0.04834,-1.892578,0.84082,-0.468441,0.432735,-0.409286,warming_up,0.000000,0.000,non_chewing
1953672.0,0.052734,-1.89209,0.834961,-0.470306,0.465776,-0.546248,warming_up,0.000000,0.000,non_chewing
1953682.0,0.058594,-1.897461,0.812988,-0.442328,0.509476,-0.713054,warming_up,0.000000,0.000,non_chewing
1953692.0,0.05127,-1.880859,0.833008,-0.438064,0.58222,-0.806049,warming_up,0.000000,0.000,non_chewing
1953702.0,0.064941,-1.865723,0.826172,-0.384239,0.638977,-0.868934,warming_up,0.000000,0.000,non_chewing
1953712.0,0.054687,-1.870117,0.818359,-0.330413,0.716784,-0.83083,warming_up,0.000000,0.000,non_chewing
1953722.0,0.046387,-1.871094,0.837402,-0.297639,0.770876,-0.836959,warming_up,0.000000,0.000,non_chewing
1953732.0,0.020996,-1.87793,0.812012,-0.271259,0.761017,-0.773274,warming_up,0.000000,0.000,non_chewing
1953742.0,0.039063,-1.90625,0.803711,-0.295507,0.789795,-0.90091,warming_up,0.000000,0.000,non_chewing
1953752.0,0.093262,-1.890625,0.783691,-0.310695,0.816441,-0.964594,warming_up,0.000000,0.000,non_chewing
1953762.0,0.155762,-1.902832,0.787109,-0.355994,0.913433,-1.085035,warming_up,0.000000,0.000,non_chewing
1953772.0,0.155762,-1.883301,0.789062,-0.462579,1.003764,-1.328848,warming_up,0.000000,0.000,non_chewing
1953782.0,0.11084,-1.900391,0.808594,-0.502815,1.05306,-1.401326,warming_up,0.000000,0.000,non_chewing
1953792.0,0.128906,-1.920898,0.795898,-0.522,0.998435,-1.259568,warming_up,0.000000,0.000,non_chewing
1953802.0,0.12793,-1.909668,0.793945,-0.546781,0.971789,-1.309397,warming_up,0.000000,0.000,non_chewing
1953812.0,0.105957,-1.933105,0.786133,-0.571562,0.928355,-1.20894,warming_up,0.000000,0.000,non_chewing
1953822.0,0.111816,-1.918457,0.781738,-0.616861,0.843887,-1.067449,warming_up,0.000000,0.000,non_chewing
1953832.0,0.13623,-1.916992,0.783691,-0.67415,0.794858,-1.01842,warming_up,0.000000,0.000,non_chewing
1953842.0,0.125977,-1.90625,0.762695,-0.714386,0.747427,-0.917963,warming_up,0.000000,0.000,non_chewing
1953852.0,0.126953,-1.921875,0.753418,-0.723446,0.698132,-0.800453,warming_up,0.000000,0.000,non_chewing
1953862.0,0.116211,-1.924805,0.770996,-0.705326,0.624855,-0.596609,warming_up,0.000000,0.000,non_chewing
1953872.0,0.145996,-1.933594,0.746094,-0.696533,0.557972,-0.380775,warming_up,0.000000,0.000,non_chewing
1953882.0,0.122559,-1.911621,0.742187,-0.656564,0.504413,-0.256337,warming_up,0.000000,0.000,non_chewing
1953892.0,0.131348,-1.919922,0.756836,-0.603537,0.471639,-0.20038,warming_up,0.000000,0.000,non_chewing
1953902.0,0.123535,-1.926758,0.748047,-0.641642,0.472172,-0.201712,warming_up,0.000000,0.000,non_chewing
1953912.0,0.069824,-1.827637,0.77002,-0.737302,0.510276,-0.166273,warming_up,0.000000,0.000,non_chewing
1953922.0,0.070801,-1.819824,0.759277,-0.79619,0.508677,-0.200646,warming_up,0.000000,0.000,non_chewing
1953932.0,0.115234,-1.829102,0.754395,-0.81804,0.522799,-0.191054,warming_up,0.000000,0.000,non_chewing
1953942.0,0.037109,-1.873047,0.759277,-0.684542,0.411685,-0.369317,warming_up,0.000000,0.000,non_chewing
1953952.0,0.095703,-1.856445,0.761719,-0.536922,0.200646,-0.237152,warming_up,0.000000,0.000,non_chewing
1953962.0,0.155762,-1.902832,0.726074,-0.3917,0.091663,-0.122573,warming_up,0.000000,0.000,non_chewing
1953972.0,0.167969,-1.934082,0.728027,-0.318423,0.024515,-0.12577,warming_up,0.000000,0.000,non_chewing
1953982.0,0.147949,-1.910156,0.732422,-0.235819,-0.016521,-0.00826,warming_up,0.000000,0.000,non_chewing
1953992.0,0.118164,-1.930664,0.73291,-0.201712,-0.046897,0.038637,warming_up,0.000000,0.000,non_chewing
